Contrast,Method,Lipid_Class,Sig.Level,Tentative_Lipid_ID,logFC,t,P.Value,adj.P.Val,B,Sig.Level,MetaboAnalysisDate,ExclusionVersion,AveExpr
MIX,3,DG,<0.1,DG(36:3)_C18:1,0.38706,2.1615,0.032,0.095,-3.8149,<0.1,12524,E2,7.85E-18
MIX,3,DG,<0.1,"DG(O-38:9),DG(36:2)_C18:1",0.38304,2.4027,0.018,0.066,-3.316,<0.1,12524,E2,-7.17E-17
MIX,3,TG,<0.1,[TG(46:1)]_FA14:0,0.30559,1.9113,0.058,0.086,-3.9305,<0.1,12524,E2,-7.75E-17
MIX,3,TG,<0.1,[TG(46:1)]_FA16:1,0.33101,2.0292,0.044,0.086,-3.7595,<0.1,12524,E2,7.65E-19
MIX,3,TG,<0.1,[TG(48:2)]_FA14:0,0.31938,2.0941,0.038,0.086,-3.6613,<0.1,12524,E2,5.39E-17
MIX,3,TG,<0.1,[TG(48:2)]_FA16:0,0.27022,1.6778,0.095,0.100,-4.2406,<0.1,12524,E2,-2.96E-17
MIX,3,TG,<0.1,[TG(48:2)]_FA16:1,0.27848,1.7256,0.086,0.099,-4.1802,<0.1,12524,E2,2.49E-17
MIX,3,TG,<0.1,"[TG(48:8),TG(47:1)]_FA16:1",0.32181,2.007,0.047,0.086,-3.7924,<0.1,12524,E2,4.30E-17
MIX,3,TG,<0.1,"[TG(49:8),TG(48:1)]_FA16:0",0.29708,1.8274,0.070,0.086,-4.0463,<0.1,12524,E2,-3.51E-17
MIX,3,TG,<0.1,[TG(50:3)]_FA16:0,0.29805,1.8189,0.071,0.086,-4.0579,<0.1,12524,E2,-2.13E-17
MIX,3,TG,<0.1,[TG(50:3)]_FA16:1,0.29624,1.8852,0.061,0.086,-3.9671,<0.1,12524,E2,1.91E-17
MIX,3,TG,<0.1,"[TG(50:8),TG(49:1)]_FA16:0",0.29862,1.9808,0.049,0.086,-3.8309,<0.1,12524,E2,-6.38E-18
MIX,3,TG,<0.1,"[TG(50:9),TG(49:2)]_FA16:1",0.29172,1.9096,0.058,0.086,-3.933,<0.1,12524,E2,3.12E-17
MIX,3,TG,<0.1,"[TG(51:8),TG(50:1)]_FA16:0",0.32113,2.0163,0.046,0.086,-3.7788,<0.1,12524,E2,9.18E-19
