Contrast,Lipid_Class,Tentative_Lipid_ID,logFoldC,AveExpr,t,P.Value,adjP,B,Sig.Level,MetaboAnalysisDate
PFHxA,LPE,"LPE(18:2),LPE(P-19:1)",NA,NA,NA,NA,NA,NA,NA,NA
PFHxA,LPE,LPE(20:3),NA,NA,NA,NA,NA,NA,NA,NA
PFHxA,LPE,LPE(16:1),NA,NA,NA,NA,NA,NA,NA,NA
PFHxA,LPE,LPE(22:5),NA,NA,NA,NA,NA,NA,NA,NA
PFHxA,LPE,LPE(20:5),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,LPE,"LPE(18:2),LPE(P-19:1)",NA,NA,NA,NA,NA,NA,NA,NA
PFOA,LPE,LPE(20:3),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,LPE,LPE(24:6),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,LPE,LPE(22:4),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,LPE,LPE(16:1),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,LPE,LPE(22:5),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,LPE,LPE(20:5),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,LPE,LPE(18:1),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,LPE,"LPE(18:2),LPE(P-19:1)",NA,NA,NA,NA,NA,NA,NA,NA
PFOS,LPE,LPE(20:3),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,LPE,LPE(24:6),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,LPE,LPE(22:4),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,LPE,LPE(16:1),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,LPE,LPE(22:5),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,LPE,LPE(20:5),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,LPE,LPE(18:1),NA,NA,NA,NA,NA,NA,NA,NA
PFHxA,PC,"PC(43:4),PC(O-44:4)",-0.829,4.39E-16,-3.5066,0.00060973,0.06829,-0.43353,<0.1,102023
PFHxA,PE,"PE(35:4),PE(O-36:4),PE(P-36:3)",-0.901,1.08E-16,-3.4394,0.00076918,0.038459,-0.69055,<0.05,102023
MIX,PC,"PC(43:4),PC(O-44:4)",NA,NA,NA,NA,NA,NA,NA,NA
MIX,PE,"PE(35:4),PE(O-36:4),PE(P-36:3)",NA,NA,NA,NA,NA,NA,NA,NA
PFHxS,PC,"PC(43:4),PC(O-44:4)",NA,NA,NA,NA,NA,NA,NA,NA
PFHxS,PE,"PE(35:4),PE(O-36:4),PE(P-36:3)",NA,NA,NA,NA,NA,NA,NA,NA
